X,Y,Z
-88.5398537941832871,40.4901354079665481,260.13568115234375
-88.539576016383279,40.4901354079665481,260.007904052734375
-88.5392982385832852,40.4901354079665481,259.91082763671875
-88.5390204607832771,40.4901354079665481,259.80450439453125
-88.5387426829832833,40.4901354079665481,259.681671142578125
-88.5384649051832895,40.4901354079665481,259.5616455078125
-88.5381871273832814,40.4901354079665481,259.488311767578125
-88.5379093495832876,40.4901354079665481,259.52557373046875
-88.5376315717832796,40.4901354079665481,259.696044921875
-88.5373537939832858,40.4901354079665481,259.91741943359375
-88.5370760161832777,40.4901354079665481,259.9112548828125
-88.5367982383832839,40.4901354079665481,259.794281005859375
-88.5365204605832901,40.4901354079665481,259.639190673828125
-88.536242682783282,40.4901354079665481,259.612945556640625
-88.5359649049832882,40.4901354079665481,259.467010498046875
-88.5356871271832802,40.4901354079665481,259.1771240234375
-88.5354093493832863,40.4901354079665481,258.9154052734375
-88.5351315715832783,40.4901354079665481,258.648101806640625
-88.5348537937832845,40.4901354079665481,258.457916259765625
-88.5345760159832906,40.4901354079665481,258.368438720703125
-88.5342982381832826,40.4901354079665481,258.32220458984375
-88.5340204603832888,40.4901354079665481,258.213470458984375
-88.5337426825832807,40.4901354079665481,258.01776123046875
-88.5334649047832869,40.4901354079665481,257.86077880859375
-88.5331871269832789,40.4901354079665481,257.716156005859375
-88.532909349183285,40.4901354079665481,257.550628662109375
-88.532631571383277,40.4901354079665481,257.35113525390625
-88.5323537935832832,40.4901354079665481,257.129974365234375
-88.5320760157832893,40.4901354079665481,256.96044921875
-88.5317982379832813,40.4901354079665481,256.810760498046875
-88.5315204601832875,40.4901354079665481,256.711273193359375
-88.5312426823832794,40.4901354079665481,256.613800048828125
-88.5309649045832856,40.4901354079665481,256.416290283203125
-88.5306871267832776,40.4901354079665481,256.00640869140625
-88.5304093489832837,40.4901354079665481,255.5567626953125
-88.5301315711832899,40.4901354079665481,255.207901000976562
-88.5298537933832819,40.4901354079665481,254.885940551757812
-88.529576015583288,40.4901354079665481,254.908737182617188
-88.52929823778328,40.4901354079665481,254.9515380859375
-88.5290204599832862,40.4901354079665481,254.770095825195312
-88.5287426821832781,40.4901354079665481,254.627151489257812
-88.5284649043832843,40.4901354079665481,254.55999755859375
-88.5281871265832905,40.4901354079665481,254.54827880859375
-88.5279093487832824,40.4901354079665481,254.560195922851562
-88.5276315709832886,40.4901354079665481,254.69635009765625
-88.5273537931832806,40.4901354079665481,254.773101806640625
-88.5270760153832867,40.4901354079665481,254.670379638671875
-88.5267982375832787,40.4901354079665481,254.573699951171875
-88.5265204597832849,40.4901354079665481,254.54022216796875
-88.526242681983291,40.4901354079665481,254.647262573242188
-88.525964904183283,40.4901354079665481,254.653213500976562
-88.5256871263832892,40.4901354079665481,254.476409912109375
-88.5254093485832811,40.4901354079665481,254.31671142578125
-88.5251315707832873,40.4901354079665481,254.057281494140625
-88.5248537929832793,40.4901354079665481,253.658599853515625
-88.5245760151832854,40.4901354079665481,253.186965942382812
-88.5242982373832774,40.4901354079665481,252.811630249023438
-88.5240204595832836,40.4901354079665481,252.683944702148438
-88.5237426817832898,40.4901354079665481,252.91986083984375
-88.5234649039832817,40.4901354079665481,253.596084594726562
-88.5231871261832879,40.4901354079665481,254.07470703125
-88.5229093483832798,40.4901354079665481,254.07763671875
-88.522631570583286,40.4901354079665481,253.905105590820312
-88.522353792783278,40.4901354079665481,253.882736206054688
-88.5220760149832842,40.4901354079665481,254.377120971679688
-88.5217982371832903,40.4901354079665481,254.844268798828125
-88.5215204593832823,40.4901354079665481,255.160446166992188
-88.5212426815832885,40.4901354079665481,255.3858642578125
-88.5209649037832804,40.4901354079665481,255.494781494140625
-88.5206871259832866,40.4901354079665481,255.600906372070312
-88.5204093481832786,40.4901354079665481,255.719390869140625
